dataset,model,horizon,baseline_mse,baseline_mae,corrected_mse,corrected_mae,filename
ETTh1,timexer,96,0.3816,0.4057,0.3851,0.4081,ETTh1_crc_timexer_m_pl96_dm64.log
ETTh1,timesnet,96,0.5839,0.4922,0.4768,0.4574,ETTh1_crc_timesnet_m_pl96_dm64.log
ETTh1,autoformer,96,0.4507,0.4651,0.4483,0.4651,ETTh1_crc_autoformer_m_pl96_dm64.log
ETTh1,informer,96,1.2598,0.9006,1.0296,0.8091,ETTh1_crc_informer_m_pl96_dm64.log
ETTh1,timexer,192,0.4364,0.4398,0.451,0.4509,ETTh1_crc_timexer_m_pl192_dm64.log
ETTh1,timesnet,192,0.4677,0.4635,0.4833,0.4717,ETTh1_crc_timesnet_m_pl192_dm64.log
ETTh1,autoformer,192,0.4997,0.4882,0.483,0.482,ETTh1_crc_autoformer_m_pl192_dm64.log
ETTh1,informer,192,1.1101,0.813,0.831,0.7071,ETTh1_crc_informer_m_pl192_dm64.log
ETTh1,timexer,336,0.4628,0.4556,0.492,0.4756,ETTh1_crc_timexer_m_pl336_dm64.log
ETTh1,timesnet,336,0.5086,0.484,0.5194,0.4932,ETTh1_crc_timesnet_m_pl336_dm64.log
ETTh1,autoformer,336,0.5554,0.5144,0.5564,0.5209,ETTh1_crc_autoformer_m_pl336_dm64.log
ETTh1,informer,336,1.2116,0.869,0.9671,0.7793,ETTh1_crc_informer_m_pl336_dm64.log
ETTh2,timexer,96,0.2955,0.3441,0.2951,0.3445,ETTh2_crc_timexer_m_pl96_dm64.log
ETTh2,timesnet,96,0.3656,0.384,0.3653,0.3863,ETTh2_crc_timesnet_m_pl96_dm64.log
ETTh2,autoformer,96,0.3457,0.3874,0.3335,0.3833,ETTh2_crc_autoformer_m_pl96_dm64.log
ETTh2,informer,96,3.2176,1.466,3.0701,1.4205,ETTh2_crc_informer_m_pl96_dm64.log
ETTh2,timexer,192,0.382,0.3979,0.3806,0.3963,ETTh2_crc_timexer_m_pl192_dm64.log
ETTh2,timesnet,192,0.4686,0.4407,0.4727,0.4429,ETTh2_crc_timesnet_m_pl192_dm64.log
ETTh2,autoformer,192,0.4304,0.4394,0.4298,0.4412,ETTh2_crc_autoformer_m_pl192_dm64.log
ETTh2,informer,192,5.9528,1.9805,5.0183,1.817,ETTh2_crc_informer_m_pl192_dm64.log
ETTh2,timexer,336,0.4231,0.4299,0.4229,0.4312,ETTh2_crc_timexer_m_pl336_dm64.log
ETTh2,timesnet,336,0.4531,0.4485,0.4528,0.4483,ETTh2_crc_timesnet_m_pl336_dm64.log
ETTh2,autoformer,336,0.4766,0.4807,0.4747,0.4833,ETTh2_crc_autoformer_m_pl336_dm64.log
ETTh2,informer,336,6.2363,1.999,6.0715,1.9675,ETTh2_crc_informer_m_pl336_dm64.log
ETTm1,timexer,96,0.3307,0.3637,0.329,0.3614,ETTm1_crc_timexer_m_pl96_dm64.log
ETTm1,timesnet,96,0.4891,0.4405,0.4771,0.4343,ETTm1_crc_timesnet_m_pl96_dm64.log
ETTm1,autoformer,96,0.5488,0.4806,0.4012,0.4305,ETTm1_crc_autoformer_m_pl96_dm64.log
ETTm1,informer,96,0.8077,0.6403,0.7872,0.6308,ETTm1_crc_informer_m_pl96_dm64.log
ETTm1,timexer,192,0.3679,0.386,0.3685,0.3864,ETTm1_crc_timexer_m_pl192_dm64.log
ETTm1,timesnet,192,0.5429,0.4711,0.535,0.4684,ETTm1_crc_timesnet_m_pl192_dm64.log
ETTm1,autoformer,192,0.6553,0.534,0.4912,0.4734,ETTm1_crc_autoformer_m_pl192_dm64.log
ETTm1,informer,192,0.9292,0.724,0.8549,0.6906,ETTm1_crc_informer_m_pl192_dm64.log
ETTm1,timexer,336,0.4054,0.4146,0.4085,0.4145,ETTm1_crc_timexer_m_pl336_dm64.log
ETTm1,timesnet,336,0.5162,0.4679,0.5004,0.4618,ETTm1_crc_timesnet_m_pl336_dm64.log
ETTm1,autoformer,336,0.534,0.5059,0.4461,0.4571,ETTm1_crc_autoformer_m_pl336_dm64.log
ETTm1,informer,336,1.1115,0.7881,1.1147,0.7891,ETTm1_crc_informer_m_pl336_dm64.log
ETTm2,timexer,96,0.1773,0.258,0.176,0.2576,ETTm2_crc_timexer_m_pl96_dm64.log
ETTm2,timesnet,96,0.1859,0.2661,0.1831,0.2652,ETTm2_crc_timesnet_m_pl96_dm64.log
ETTm2,autoformer,96,0.2093,0.2899,0.1925,0.2819,ETTm2_crc_autoformer_m_pl96_dm64.log
ETTm2,informer,96,0.7478,0.695,0.6542,0.6464,ETTm2_crc_informer_m_pl96_dm64.log
ETTm2,timexer,192,0.2478,0.3079,0.2438,0.3071,ETTm2_crc_timexer_m_pl192_dm64.log
ETTm2,timesnet,192,0.2749,0.3211,0.2651,0.3167,ETTm2_crc_timesnet_m_pl192_dm64.log
ETTm2,autoformer,192,0.2736,0.3311,0.2617,0.3283,ETTm2_crc_autoformer_m_pl192_dm64.log
ETTm2,informer,192,1.2363,0.8756,1.025,0.7963,ETTm2_crc_informer_m_pl192_dm64.log
ETTm2,timexer,336,0.3013,0.3391,0.2995,0.3396,ETTm2_crc_timexer_m_pl336_dm64.log
ETTm2,timesnet,336,0.3263,0.3507,0.3222,0.35,ETTm2_crc_timesnet_m_pl336_dm64.log
ETTm2,autoformer,336,0.3196,0.3562,0.3071,0.3527,ETTm2_crc_autoformer_m_pl336_dm64.log
ETTm2,informer,336,1.4193,0.953,1.2912,0.8893,ETTm2_crc_informer_m_pl336_dm64.log
